EmployeeID,RateChangeDate,Rate,PayFrequency
1,7/7/2014,125.5,2
2,7/23/2013,63.46,2
3,5/3/2013,43.27,2
4,5/27/2013,8.62,2
4,11/21/2015,23.72,2
4,6/6/2017,29.85,2
5,6/28/2013,32.69,2
6,7/16/2013,32.69,2
7,8/1/2014,50.48,2
8,6/21/2014,40.87,2
9,7/9/2014,40.87,2
10,10/24/2014,42.48,2
11,5/27/2016,28.85,2
12,6/2/2013,25,2
13,6/14/2016,25,2
14,6/21/2016,36.06,2
15,7/10/2016,32.69,2
16,6/11/2013,24,2
16,1/5/2015,28.75,2
16,10/21/2017,37.5,2
17,7/18/2012,13.46,2
18,7/30/2016,14.42,2
19,8/6/2012,13.46,2
19,8/6/2013,14.13,2
19,8/6/2014,14.84,2
19,8/6/2015,15.58,2
19,8/5/2016,16.36,2
19,8/5/2017,17.18,2
20,6/29/2016,13.46,2
21,8/23/2014,14.42,2
22,6/4/2014,14.42,2
23,7/5/2014,14.42,2
23,8/4/2015,16.5,2
23,9/21/2017,18.25,2
23,3/21/2018,19.25,2
24,7/11/2014,14.42,2
25,7/27/2014,84.13,2
26,5/24/2014,24.52,2
27,8/19/2013,25,2
28,12/21/2011,12.45,1
29,7/16/2014,12.45,1
30,7/22/2014,12.45,1
31,6/27/2012,12.45,1
31,6/27/2013,13.07,1
31,6/27/2014,13.73,1
31,6/27/2015,14.41,1
31,6/26/2016,15.13,1
31,6/26/2017,15.89,1
32,6/21/2014,12.45,1
33,6/9/2014,12.45,1
34,8/9/2014,12.45,1
35,8/1/2014,12.45,1
36,8/3/2014,12.45,1
37,8/28/2014,12.45,1
38,7/9/2015,12.45,1
39,7/29/2015,12.45,1
40,6/17/2013,25,2
41,7/14/2014,12.45,1
42,6/19/2014,12.45,1
43,6/25/2014,12.45,1
44,5/31/2014,12.45,1
45,8/19/2014,12.45,1
46,8/1/2014,12.45,1
47,8/15/2014,25,2
48,6/28/2013,13.45,1
49,6/29/2013,13.45,1
50,7/25/2013,13.45,1
51,8/12/2013,13.45,1
52,8/31/2013,13.45,1
53,9/18/2013,13.45,1
54,6/24/2015,13.45,1
55,7/31/2013,25,2
56,7/29/2014,11,1
57,8/16/2014,11,1
58,5/28/2014,11,1
59,6/16/2014,11,1
60,7/4/2014,11,1
61,7/11/2014,11,1
